epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,127.862,1.15701,0.27568,0.16358,0.57678,0.99981,1,1,0.995,0.4975,1,1,0.995,0.995,1.7907,0.1606,0.09885,0.67124,1.31702,8.21E-05,8.21E-05,8.21E-05
48,129.963,1.15029,0.18692,0.12469,0.56513,1.13191,1,1,0.995,0.4975,1,1,0.995,0.995,1.7907,0.1606,0.09885,0.67124,1.31702,6.52E-05,6.52E-05,6.52E-05
49,132.127,0.99528,0.20362,0.12254,0.61568,0.98377,1,1,0.995,0.4975,1,1,0.995,0.995,1.78598,0.15499,0.099,0.65886,1.31035,4.76E-05,4.76E-05,4.76E-05
50,134.228,0.948,0.15549,0.07967,0.58154,1.13256,1,1,0.995,0.4975,1,1,0.995,0.995,1.78598,0.15499,0.099,0.65886,1.31035,2.92E-05,2.92E-05,2.92E-05
1,82.2301,1.32699,0.35066,0.27546,0.64341,1.09013,0.99472,1,0.995,0.59959,0.99472,1,0.995,0.99129,1.38624,0.20317,0.0976,0.63704,1.19297,0.00018,0.00018,0.00018
2,135.109,1.37495,0.33381,0.26417,0.68087,1.07586,0.99239,1,0.995,0.5701,0.99239,1,0.995,0.98672,1.47956,0.18639,0.08387,0.63511,1.25447,0.00036746,0.00036746,0.00036746
3,187.092,1.44858,0.45687,0.28746,0.735,1.10894,0.99324,1,0.995,0.49176,0.99324,1,0.995,0.94088,1.50023,0.31638,0.08776,0.73549,1.25383,0.00054172,0.00054172,0.00054172
4,255.364,1.42187,0.45404,0.27363,0.77408,1.09601,0.99734,1,0.995,0.52771,0.99734,1,0.995,0.92743,1.48396,0.31575,0.09208,0.71891,1.22825,0.00070278,0.00070278,0.00070278
5,311.135,1.40308,0.46871,0.28008,0.76883,1.07462,0.96516,1,0.99329,0.49579,0.96516,1,0.99329,0.96186,1.42618,0.2551,0.09554,0.79088,1.18184,0.00085064,0.00085064,0.00085064
6,362.437,1.42796,0.46618,0.31063,0.76091,1.0893,0.99442,1,0.995,0.56572,0.99442,1,0.995,0.97945,1.35685,0.29702,0.08524,0.68205,1.18285,0.0009853,0.0009853,0.0009853
7,413.759,1.36805,0.40246,0.25771,0.71836,1.08921,0.99865,1,0.995,0.54623,0.99865,1,0.995,0.97732,1.54421,0.27935,0.08534,0.72557,1.22788,0.00110676,0.00110676,0.00110676
8,465.384,1.31469,0.41414,0.27528,0.70468,1.09955,0.97418,1,0.99451,0.59893,0.97418,1,0.99451,0.96886,1.39796,0.30032,0.08001,0.69077,1.20404,0.00121502,0.00121502,0.00121502
9,521.358,1.35532,0.41815,0.28779,0.71623,1.11413,0.99771,1,0.995,0.59346,0.99771,1,0.995,0.96817,1.34928,0.2533,0.06835,0.65469,1.19747,0.00131008,0.00131008,0.00131008
